episode_id,filename,class_label,split,generation_phase,candidate_attempt_index,saved_episode_index,seed,duration,initial_mid_price,tick_size,min_spread,depth_levels,base_order_rate,volatility_regime,imbalance_regime,burstiness_regime,cancellation_regime,imbalance,burstiness,trend_regime,cluster_regime,iceberg_count,buy_iceberg_count,sell_iceberg_count,num_market_makers,num_fake_icebergs,num_regime_shifts,iceberg_timing_style,iceberg_placement_style,liquidity_profile_style,difficulty_bucket,had_positive_support,positive_support_strength,iceberg_became_meaningful,hard_negative_types,num_rows,num_events_approx,num_trades,total_volume,snapshot_interval,mean_spread,mean_depth
ep_000010,ep_000010.csv,iceberg,train,iceberg_phase,76,10,75409876,317.89982999999995,15.82,0.05,1.0219213056419256,6,2.164764002732833,calm,mild_sell,bursty,0.168564,-0.27213893739854844,0.46693,0.562512,0.191504,4,1,3,3,2,2,uniform_random,at_bbo,decay_linear,hard_positive,True,0.6824,True,"{""large_visible"": 0.30022673562860713, ""sliced_visible"": 0.13349652322912536, ""churn"": 0.33402879387226714, ""multi_refill"": 0.2672788647184237, ""noise"": 0.27234592984759726, ""directional"": 0.4193800665932411}",152,5885,395,28277,2.1046,0.063816,596065.35
ep_000011,ep_000011.csv,iceberg,val,iceberg_phase,80,11,79289219,313.87392,227.67,0.05,1.2106566919764976,5,1.8176747762708634,calm,neutral,normal,0.019544,0.1469942979278155,0.275579,0.641343,0.117046,1,0,1,1,0,1,uniform_random,mixed,random,hard_positive,True,0.5197,True,"{""large_visible"": 0.2669981752696278, ""sliced_visible"": 0.16167690749232644, ""churn"": 0.27980333826459686, ""multi_refill"": 0.08726589401891213, ""noise"": 0.1822950986624982, ""directional"": 0.24763185522312658}",365,2072,227,17871,0.8604,0.053288,629059.33
ep_000012,ep_000012.csv,iceberg,train,iceberg_phase,82,12,81225086,454.6975499999999,105.09,0.02,1.4413310747565655,9,5.713010333958834,normal,mild_sell,calm,0.146038,-0.34775756226233134,0.108816,-0.233595,0.817516,1,1,0,0,0,1,uniform_random,inside_spread,humped,hard_positive,False,0.0,True,"{""large_visible"": 0.1650588938007596, ""sliced_visible"": 0.09879355728829224, ""churn"": 0.26612008490219596, ""multi_refill"": 0.09006561597457254, ""noise"": 0.15974794883021626, ""directional"": 0.20254714163146662}",257,928,70,5886,1.7727,0.021634,162940.32
ep_000013,ep_000013.csv,iceberg,test,iceberg_phase,84,13,83233865,228.1805,186.3,0.02,1.4575301894616985,11,1.792469441382418,noisy,strong_sell,bursty,0.39889,-0.8488725645877527,0.423975,-0.818447,0.369521,4,2,2,1,2,2,uniform_random,at_bbo,decay_exp,hard_positive,True,0.5855,True,"{""large_visible"": 0.12863649693506546, ""sliced_visible"": 0.28119535132289275, ""churn"": 0.08038529553494436, ""multi_refill"": 0.0742572709367766, ""noise"": 0.35813776292991617, ""directional"": 0.4093433052184634}",95,2235,166,11952,2.4019,0.029474,675732.58
ep_000014,ep_000014.csv,iceberg,test,iceberg_phase,87,14,86898450,90.0,139.4,0.02,0.6345134747401664,9,3.363598434089165,noisy,strong_buy,bursty,0.401796,0.829826020183338,0.59222,0.41411,0.313234,4,2,2,2,1,0,clustered,mixed,decay_linear,hard_positive,False,0.0,True,"{""large_visible"": 0.10332696211229227, ""sliced_visible"": 0.2671206733505821, ""churn"": 0.17147924882967133, ""multi_refill"": 0.21779247892523707, ""noise"": 0.43219225508695613, ""directional"": 0.3428928398410561}",170,1414,121,9043,0.5296,0.028118,118718.79
ep_000015,ep_000015.csv,iceberg,val,iceberg_phase,91,15,89728658,134.23784999999998,191.14,0.02,0.6240927669508257,6,4.96494085654821,normal,neutral,calm,0.600537,0.046623644348701254,0.078111,0.089473,0.443245,2,1,1,1,1,3,uniform_random,mixed,decay_exp,hard_positive,True,0.4704,True,"{""large_visible"": 0.12480169575012025, ""sliced_visible"": 0.12687800978981018, ""churn"": 0.27214790060104294, ""multi_refill"": 0.0913016529008315, ""noise"": 0.22425540411971437, ""directional"": 0.33952090349140696}",128,3496,256,16708,1.0545,0.024063,197198.73
ep_000016,ep_000016.csv,iceberg,test,iceberg_phase,94,16,92967815,90.0,266.5,0.02,0.3722344750884766,11,1.6686097598404823,noisy,strong_buy,bursty,0.455149,0.8234107905292701,0.457008,0.70136,0.396196,3,2,1,3,1,2,clustered,mixed,decay_linear,hard_positive,False,0.0,True,"{""large_visible"": 0.32607216753487955, ""sliced_visible"": 0.2187673993062088, ""churn"": 0.2532499188571612, ""multi_refill"": 0.1869347088638993, ""noise"": 0.2969751357898541, ""directional"": 0.38179736315935}",125,2653,65,5040,0.7208,0.02528,125110.07
ep_000017,ep_000017.csv,iceberg,test,iceberg_phase,100,17,99274688,180.50475,48.7,0.05,0.8406276281991631,13,1.5056701013068614,normal,mild_buy,normal,0.175398,0.2934903893289348,0.173736,-0.840735,0.100398,1,1,0,1,0,2,uniform_random,inside_spread,humped,medium_positive,True,0.6203,True,"{""large_visible"": 0.11083441932111951, ""sliced_visible"": 0.23830201360604159, ""churn"": 0.30967265212685396, ""multi_refill"": 0.24826312969084918, ""noise"": 0.4656268388209126, ""directional"": 0.31232922135282537}",152,888,153,8701,1.195,0.099342,137445.51
ep_000018,ep_000018.csv,iceberg,test,iceberg_phase,101,18,100258879,345.52279000000004,174.51,0.01,0.42248787373597885,13,0.8600094557973008,normal,strong_buy,normal,0.344159,0.4206610358054502,0.203512,0.425713,0.191738,1,1,0,0,1,0,uniform_random,mixed,humped,hard_positive,False,0.0,True,"{""large_visible"": 0.06650900881225287, ""sliced_visible"": 0.06788933196818077, ""churn"": 0.21684498572728889, ""multi_refill"": 0.2763499084793185, ""noise"": 0.30200283890938034, ""directional"": 0.28228592757345367}",372,1994,178,8422,0.9302,0.024946,85947.81
ep_000019,ep_000019.csv,iceberg,test,iceberg_phase,106,19,105555077,906.6685999999999,38.72,0.02,1.3011139876406765,13,11.642152954831412,calm,strong_sell,bursty,0.252458,-0.42106134549998725,0.574064,-0.222735,0.3893,2,0,2,1,0,4,early_bias,inside_spread,flat,easy_positive,True,0.4806,True,"{""large_visible"": 0.13310278296738293, ""sliced_visible"": 0.23160219508019675, ""churn"": 0.2774102091009904, ""multi_refill"": 0.10606828794418757, ""noise"": 0.3774501760320397, ""directional"": 0.3652188743087416}",378,3875,312,24819,2.404,0.023757,226385.43
ep_000020,ep_000020.csv,iceberg,test,iceberg_phase,109,20,107384884,159.885,145.49,0.01,0.33748853396217493,10,1.7461049521626342,calm,strong_sell,normal,0.382459,-0.677893886550627,0.363451,-0.017947,0.192581,2,1,1,1,0,1,uniform_random,at_bbo,decay_exp,medium_positive,True,0.4877,True,"{""large_visible"": 0.26189280868387926, ""sliced_visible"": 0.19646758055808905, ""churn"": 0.2866234562031863, ""multi_refill"": 0.11117455801613085, ""noise"": 0.39847011598938775, ""directional"": 0.2771133528114619}",323,1295,143,7383,0.495,0.011022,386167.84
ep_000021,ep_000021.csv,iceberg,train,iceberg_phase,114,21,112480791,215.123225,35.25,0.01,0.7601427989630618,9,1.058113880054668,normal,neutral,normal,0.134636,0.10640834067104177,0.188321,0.644474,0.137473,2,1,1,1,0,1,early_bias,mixed,humped,hard_positive,True,0.5891,True,"{""large_visible"": 0.05621880564935007, ""sliced_visible"": 0.17870738932339447, ""churn"": 0.26507427896161234, ""multi_refill"": 0.1912502975222629, ""noise"": 0.22416178737614217, ""directional"": 0.25115228775515486}",98,1427,183,9998,2.1985,0.014796,135141.87
ep_000022,ep_000022.csv,iceberg,train,iceberg_phase,118,22,117380559,315.90767999999997,29.46,0.02,0.8882590807888715,6,3.3371804777596585,normal,neutral,normal,0.2863,-0.056421431721022985,0.193714,-0.703319,0.371186,4,2,2,1,1,2,clustered,at_bbo,flat,medium_positive,True,0.4341,True,"{""large_visible"": 0.0579982346931395, ""sliced_visible"": 0.26455356925045376, ""churn"": 0.09881340838496189, ""multi_refill"": 0.22051687889776334, ""noise"": 0.340842701694541, ""directional"": 0.21849548630091603}",179,5249,409,22359,1.7688,0.034749,132877.22
ep_000023,ep_000023.csv,iceberg,train,iceberg_phase,122,23,121001262,584.6903249999999,284.21,0.05,0.44094858010210525,11,6.186841224311771,normal,mild_buy,normal,0.044374,0.20366725558047494,0.253171,-0.179694,0.187326,2,0,2,1,1,2,early_bias,inside_spread,inverted,hard_positive,True,0.659,True,"{""large_visible"": 0.1777859866547269, ""sliced_visible"": 0.07560268883035144, ""churn"": 0.06400217322418726, ""multi_refill"": 0.09247727885295015, ""noise"": 0.19363946329719411, ""directional"": 0.34939286308634476}",338,3080,342,29866,1.7337,0.061095,1079053.84
ep_000024,ep_000024.csv,iceberg,test,iceberg_phase,124,24,123434163,651.0944699999999,174.81,0.01,1.3497279217956435,9,9.663203796313852,normal,strong_buy,normal,0.033867,0.652699411456842,0.207787,-0.02854,0.322141,1,0,1,3,1,1,early_bias,at_bbo,flat,hard_positive,True,0.734,True,"{""large_visible"": 0.0775095582350744, ""sliced_visible"": 0.2597121883061556, ""churn"": 0.3161380367940425, ""multi_refill"": 0.19414080803926143, ""noise"": 0.23322999206760528, ""directional"": 0.40380051104180137}",334,11802,337,24115,1.9526,0.016228,339887.7
ep_000025,ep_000025.csv,iceberg,test,iceberg_phase,125,25,124028883,139.049885,26.24,0.05,1.448992360753826,9,1.5019927436321232,normal,neutral,normal,0.203798,-0.03993010550353737,0.265573,-0.1142,0.456083,2,1,1,3,1,2,clustered,at_bbo,decay_exp,hard_positive,False,0.0,True,"{""large_visible"": 0.1457529495765622, ""sliced_visible"": 0.074497250408338, ""churn"": 0.3390482110832096, ""multi_refill"": 0.2772848893264098, ""noise"": 0.28800040835561125, ""directional"": 0.3959726049228609}",171,2740,60,4360,0.8177,0.053509,222006.81
ep_000026,ep_000026.csv,iceberg,train,iceberg_phase,126,26,124833526,212.80864499999998,36.17,0.02,0.4372366470645309,4,1.018708395622368,calm,neutral,calm,0.196807,0.029086205314970415,0.021865,0.54244,0.29137,2,1,1,2,1,4,uniform_random,mixed,humped,hard_positive,True,0.6744,True,"{""large_visible"": 0.16895891468843346, ""sliced_visible"": 0.18870261047311665, ""churn"": 0.24012172958167477, ""multi_refill"": 0.24379183539293237, ""noise"": 0.2692971491045934, ""directional"": 0.3398545018237289}",106,2068,117,7498,2.0181,0.025094,97999.85
ep_000027,ep_000027.csv,iceberg,test,iceberg_phase,127,27,126419289,457.8734,174.44,0.01,0.9290124162141729,8,21.26419455372822,noisy,mild_buy,normal,0.407093,0.1665475674847764,0.185414,0.148252,0.190891,3,1,2,3,0,3,late_bias,inside_spread,decay_linear,medium_positive,True,0.7403,True,"{""large_visible"": 0.1328223350890949, ""sliced_visible"": 0.11377152307115758, ""churn"": 0.0550197590206179, ""multi_refill"": 0.24361279100465671, ""noise"": 0.3119289533352225, ""directional"": 0.22440876518351557}",192,5689,523,31403,2.386,0.014896,557232.93
ep_000028,ep_000028.csv,iceberg,train,iceberg_phase,132,28,130837838,590.49055,270.98,0.05,1.3487975237070926,7,1.030518316913129,normal,mild_buy,normal,0.401998,0.39387887545739597,0.348282,0.985065,0.224715,4,2,2,1,2,2,uniform_random,inside_spread,humped,hard_positive,False,0.0,True,"{""large_visible"": 0.341645167159041, ""sliced_visible"": 0.22217915587902715, ""churn"": 0.16928806570971178, ""multi_refill"": 0.24592761404594848, ""noise"": 0.4665944119443245, ""directional"": 0.310472061970772}",332,10314,210,13327,1.781,0.06762,717876.45
ep_000029,ep_000029.csv,iceberg,test,iceberg_phase,138,29,136659058,276.83018999999996,116.83,0.02,1.3287328337843218,10,19.865075320013045,noisy,neutral,bursty,0.465866,-0.10271492276727245,0.43087,-0.405952,0.155911,3,2,1,1,0,3,uniform_random,mixed,flat,hard_positive,True,0.7006,True,"{""large_visible"": 0.10568521904764885, ""sliced_visible"": 0.08305207433166846, ""churn"": 0.30886369412513953, ""multi_refill"": 0.20141225044564814, ""noise"": 0.31140017319555474, ""directional"": 0.20764722318158663}",360,2993,530,34597,0.7709,0.0385,340617.04
ep_000030,ep_000030.csv,iceberg,test,iceberg_phase,139,30,138211468,479.71162,295.55,0.05,1.0761133923436506,10,15.822873288654945,noisy,mild_sell,bursty,0.357299,-0.33724589625552315,0.41578,-0.862354,0.030186,3,2,1,1,0,1,uniform_random,mixed,decay_linear,hard_positive,True,0.5067,True,"{""large_visible"": 0.240090396996274, ""sliced_visible"": 0.23406023365882284, ""churn"": 0.2771374464319601, ""multi_refill"": 0.20530451946093214, ""noise"": 0.35199054451786504, ""directional"": 0.5322196480473146}",192,4713,432,35344,2.4998,0.051563,586859.83
ep_000031,ep_000031.csv,iceberg,val,iceberg_phase,149,31,147952082,614.306195,34.62,0.01,1.4037462566706183,10,3.9246186373946466,calm,neutral,normal,0.301462,0.06534000691043951,0.31879,0.832432,0.556359,4,3,1,3,2,2,late_bias,inside_spread,decay_linear,hard_positive,False,0.0,True,"{""large_visible"": 0.2289115324135786, ""sliced_visible"": 0.13415098721569607, ""churn"": 0.24787846112155643, ""multi_refill"": 0.061278529999053116, ""noise"": 0.29000769665302095, ""directional"": 0.4681184343915797}",250,9293,234,17987,2.4587,0.01272,343867.15
ep_000032,ep_000032.csv,iceberg,test,iceberg_phase,150,32,149323266,240.0,149.69,0.01,0.6703453644371622,6,17.190403271868625,normal,strong_buy,normal,0.044472,0.5093389917906751,0.192498,0.024872,0.329941,2,1,1,1,1,1,clustered,at_bbo,humped,hard_positive,True,0.6288,True,"{""large_visible"": 0.1550263204511185, ""sliced_visible"": 0.2752254185247103, ""churn"": 0.33182212313150816, ""multi_refill"": 0.1031121466875834, ""noise"": 0.4120362799829367, ""directional"": 0.4494432789869037}",649,3914,321,24600,0.3702,0.01037,322376.88
ep_000033,ep_000033.csv,iceberg,test,iceberg_phase,151,33,150463440,339.98296,237.43,0.02,0.9245676609813029,13,4.680069811274323,normal,strong_sell,calm,0.232421,-0.6899669038632835,0.080946,-0.950922,0.279487,2,1,1,1,2,2,uniform_random,at_bbo,decay_exp,hard_positive,True,0.296,True,"{""large_visible"": 0.0776634580963012, ""sliced_visible"": 0.20641164313845084, ""churn"": 0.23730966792079466, ""multi_refill"": 0.14774964598185708, ""noise"": 0.411827416274934, ""directional"": 0.24983704993529146}",358,3567,361,19197,0.9518,0.035251,160241.71
ep_000034,ep_000034.csv,iceberg,test,iceberg_phase,154,34,152974961,536.4574,187.46,0.05,0.30976409993866627,8,5.895962908829289,normal,strong_buy,calm,0.162035,0.7811732543284623,0.056524,-0.030621,0.105835,4,1,3,1,1,3,uniform_random,inside_spread,decay_exp,medium_positive,False,0.0,True,"{""large_visible"": 0.0854697246997076, ""sliced_visible"": 0.26479732552605695, ""churn"": 0.2523763377957074, ""multi_refill"": 0.15753981963409203, ""noise"": 0.4516736239784095, ""directional"": 0.2045318598921947}",301,6920,486,25939,1.787,0.076412,127992.78
ep_000035,ep_000035.csv,iceberg,test,iceberg_phase,155,35,153780605,760.68115,99.58,0.01,1.0186525404078097,6,4.314971722697968,normal,strong_sell,normal,0.139248,-0.6887974293815412,0.326816,0.668188,0.70555,3,1,2,2,1,2,clustered,mixed,decay_linear,hard_positive,True,0.4598,True,"{""large_visible"": 0.16662464433074664, ""sliced_visible"": 0.12116090553831692, ""churn"": 0.27073530084155856, ""multi_refill"": 0.27574861531874584, ""noise"": 0.3182754220987648, ""directional"": 0.45358999376612674}",307,7980,306,13449,2.479,0.010782,155975.6
ep_000036,ep_000036.csv,iceberg,test,iceberg_phase,161,36,160121326,378.702585,126.48,0.05,1.415879465139206,9,4.73510639376682,noisy,strong_buy,bursty,0.336802,0.5651043492362829,0.430757,-0.829887,0.413233,2,1,1,2,1,1,early_bias,at_bbo,inverted,hard_positive,False,0.0,True,"{""large_visible"": 0.08563303630631827, ""sliced_visible"": 0.23941092714794737, ""churn"": 0.22904320691448166, ""multi_refill"": 0.2658915908723827, ""noise"": 0.24548666160336297, ""directional"": 0.5347097274598164}",317,4289,310,25123,1.1971,0.060252,328126.76
ep_000037,ep_000037.csv,iceberg,train,iceberg_phase,163,37,162364562,591.2735399999999,213.3,0.02,0.5400822575730595,6,1.965303965878029,normal,neutral,normal,0.044436,0.011370905143032961,0.392319,0.583817,0.463576,3,1,2,2,2,2,uniform_random,at_bbo,humped,hard_positive,True,0.2683,True,"{""large_visible"": 0.3123492821139541, ""sliced_visible"": 0.2099251210394878, ""churn"": 0.15189780371642791, ""multi_refill"": 0.2065511397753747, ""noise"": 0.40628683599186466, ""directional"": 0.21222130971313902}",324,9006,286,18012,1.8252,0.023333,685947.74
ep_000038,ep_000038.csv,iceberg,test,iceberg_phase,165,38,163704701,509.03945,122.23,0.05,1.4865448082398711,8,20.24354437160812,calm,neutral,calm,0.078304,0.0591670358717753,0.088439,-0.247277,0.114071,2,1,1,2,0,2,early_bias,at_bbo,random,hard_positive,True,0.3473,True,"{""large_visible"": 0.08727756575233299, ""sliced_visible"": 0.12533258476959114, ""churn"": 0.1741067581522075, ""multi_refill"": 0.13037536445798703, ""noise"": 0.4798540556792288, ""directional"": 0.48241376902395844}",219,5750,443,34112,2.3297,0.069406,682944.36
ep_000039,ep_000039.csv,iceberg,test,iceberg_phase,173,39,172852108,545.9833349999999,231.87,0.02,1.486631773437974,10,1.6335699872381892,noisy,strong_sell,calm,0.19918,-0.6477938677755579,0.144154,-0.064332,0.204986,1,1,0,2,0,1,clustered,mixed,decay_linear,hard_positive,True,0.7048,True,"{""large_visible"": 0.14150263921359382, ""sliced_visible"": 0.09657585215594404, ""churn"": 0.25436821002272597, ""multi_refill"": 0.06737900667397578, ""noise"": 0.26854305037094434, ""directional"": 0.3553365498494833}",231,4773,391,29664,2.3651,0.040433,350830.02
ep_000040,ep_000040.csv,iceberg,test,iceberg_phase,174,40,172609723,387.50728,218.35,0.01,0.9310942886358775,6,10.91035362903766,calm,strong_buy,bursty,0.536883,0.5299768314952434,0.66067,-0.902025,0.737457,1,0,1,2,0,1,clustered,at_bbo,inverted,hard_positive,True,0.3328,True,"{""large_visible"": 0.11248953387812681, ""sliced_visible"": 0.23290342506669204, ""churn"": 0.3319278141477282, ""multi_refill"": 0.0613955402171948, ""noise"": 0.2748553734588834, ""directional"": 0.34420501047118535}",221,3451,159,9220,1.7582,0.015385,212169.83
ep_000041,ep_000041.csv,iceberg,test,iceberg_phase,177,41,175129873,514.588305,163.35,0.05,0.9355879374577165,12,20.525587926663462,normal,strong_buy,normal,0.273866,0.7542183016354075,0.293196,0.265207,0.322989,2,0,2,1,1,1,clustered,mixed,inverted,hard_positive,True,0.7098,True,"{""large_visible"": 0.23321709243405464, ""sliced_visible"": 0.22438246852498495, ""churn"": 0.2460416571949952, ""multi_refill"": 0.2148640792841502, ""noise"": 0.26829109869700307, ""directional"": 0.3985465131567164}",220,5926,274,22459,2.3449,0.0525,351463.92
ep_000042,ep_000042.csv,iceberg,test,iceberg_phase,181,42,179594987,293.72213999999997,180.58,0.01,0.6681501544152829,14,1.2031205301839423,calm,strong_sell,bursty,0.446313,-0.4435173154512442,0.682783,-0.121704,0.516652,4,2,2,1,1,1,late_bias,inside_spread,inverted,medium_positive,True,0.3916,True,"{""large_visible"": 0.2005932196263805, ""sliced_visible"": 0.1924475759491036, ""churn"": 0.3154259495111954, ""multi_refill"": 0.21102068210044822, ""noise"": 0.4655343052228803, ""directional"": 0.5383114847690179}",288,3175,223,10659,1.0204,0.021111,209666.1
ep_000043,ep_000043.csv,iceberg,test,iceberg_phase,189,43,187861151,321.86569999999995,20.59,0.02,0.306370874627069,5,2.013400767450624,noisy,strong_sell,normal,0.055097,-0.7874617581082193,0.157633,0.478523,0.35303,2,0,2,1,0,2,uniform_random,inside_spread,random,hard_positive,True,0.7049,True,"{""large_visible"": 0.16413746552910424, ""sliced_visible"": 0.1708840024915702, ""churn"": 0.13387118526293673, ""multi_refill"": 0.07279213235664009, ""noise"": 0.42752798660848335, ""directional"": 0.2024397597488075}",316,1553,210,16664,1.0205,0.036646,543541.66
ep_000044,ep_000044.csv,iceberg,test,iceberg_phase,190,44,189136237,461.90234999999996,84.87,0.05,0.2072066663233189,8,4.404887656829361,calm,strong_buy,calm,0.171297,0.5238645767836608,0.111477,0.107114,0.358629,4,0,4,1,0,2,uniform_random,inside_spread,humped,hard_positive,True,0.6627,True,"{""large_visible"": 0.2761835623478441, ""sliced_visible"": 0.268727843041945, ""churn"": 0.07325484866919592, ""multi_refill"": 0.11697465990541774, ""noise"": 0.405562138582799, ""directional"": 0.43617803502349584}",260,2684,311,25063,1.781,0.054038,654282.78
ep_000045,ep_000045.csv,iceberg,test,iceberg_phase,191,45,190674586,167.19696,109.3,0.02,0.2292494948104977,9,2.5603260227336895,noisy,neutral,normal,0.157215,0.011852410994394269,0.287339,-0.489907,0.931166,2,2,0,3,2,0,clustered,inside_spread,flat,hard_positive,True,0.6743,True,"{""large_visible"": 0.11755982453632799, ""sliced_visible"": 0.2142878706878531, ""churn"": 0.09455491464380875, ""multi_refill"": 0.10953135547434012, ""noise"": 0.4267142118145071, ""directional"": 0.31844079043933105}",277,4452,56,2865,0.6048,0.033863,458642.01
